,ID,Text,Racial Justice,count,date
58887,1266069251275792392,"Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @RI_News_Alert.  #investing #stockmarket

https://t.co/7Yd10xBPvS",False,6,2020-05-28
58886,1266085647070216193,"Learn ways to build your foundation for success as a new merchandiser! Our regular summer Grain Merchandiser program will now be held in KC, Dec 9-10. Save the date! https://t.co/zMiBtiHvJn",False,7,2020-05-28
58885,1266099446389125120,". @ArlanFF101 Chief Commodities Economist for INTL FCStone Financial Inc. – FCM Division, is quoted by @JamaicaObserver #oatt #grains 
 
https://t.co/LQpqDofTt1",False,8,2020-05-28
58884,1266115826664583170,"To ensure that you are getting the most out of your prime broker relationship, you need to be constantly evaluating how well they are meeting your needs.  If they fall short and you are looking for alternatives, reach out for a proposal.  https://t.co/BPSYmA1W3N",False,9,2020-05-28
58883,1266117559151144967,"RT @RURALRADIO147: Tonight on #CommodityWrap: Guest #market analysts @ArlanFF101 with @INTLFCStone, and @GrainsGuru of @DanielsTrading. Tun…",False,10,2020-05-28
58882,1266151013708369920,One of the most unique &amp; valuable advantages we offer our clients is the personal connection that so many of our employees have to the markets they serve. We have Boots on the Ground. Stay tuned for the full video released this summer #oatt #financialservices https://t.co/Hbl1k0Cj4x,False,11,2020-05-28
58881,1266351144533663749,"We offer price risk management for a variety of #commodities. Check out Featured Insights page to see the services we offer and how we could help you! #oatt #oott  #grains #dairy #wheat #corn #cattle #oil #livestock #natgas #rbob
https://t.co/uu9xF9fGMe",False,1,2020-05-29
58880,1266385056425115652,"Con análisis sobre fundamentales y perspectivas para el futuro de los mercados agrícolas, nuestros expertos se unen en la Conferencia Global INTL FCStone - Mercados #Agrícolas. 2 de junio de 2020, 1:00 p.m. (hora de Miami). Inscríbase hoy mismo. #oatt https://t.co/6NVMnSQF21",False,2,2020-05-29
58879,1266417833988239361,"Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @business  #wallstreet #stockmarket #earnings

https://t.co/SrhbnFKXfm",False,3,2020-05-29
58878,1266432903329779714,"Expert market commentary by Yousef Abbasi (@realNerdOnTheSt), Global Market Strategist for US Institutional Equities for INTL FCStone Financial Inc. is quoted by @Reuters #stockmarkets #hongkong

https://t.co/tff3czu5BO",False,4,2020-05-29
58877,1266449285089984513,"Expert market commentary by Darin Friedrichs (@crushspread), author of China Direct and Risk Management Consultant for INTL FCStone Trading Co. Ltd. is quoted by South China Post. #Soybeans #oatt https://t.co/Vf7ZFFy9zm",False,5,2020-05-29
58876,1266480704214519808,"Expert market commentary by Darin Friedrichs (@crushspread), author of China Direct and Risk Management Consultant for INTL FCStone Trading Co. Ltd. is quoted by @Reuters. #oatt #eggs 

 https://t.co/OFcveDZAna",False,6,2020-05-29
58875,1266528512602779650,"Expert market commentary by Yousef Abbasi (@realNerdOnTheSt), Global Market Strategist for US Institutional Equities for INTL FCStone Financial Inc. is quoted by @nytimes #stockmarkets #hongkong

https://t.co/mU5YULMDcj",False,1,2020-05-30
58874,1266782424135905280,See our first Global S&amp;D numbers for 2020/21 crop at the NY Week Webinar Conference: COVID-19 – Impacts on #Sugar and #Energy Markets: What to Expect? on June 4 at 3pm (EST). https://t.co/ELtmt57TS0,False,2,2020-05-30
58873,1266859432262025216,"Con análisis sobre fundamentales y perspectivas para el futuro de los mercados agrícolas, nuestros expertos se unen en la Conferencia Global INTL FCStone - Mercados #Agrícolas. 2 de junio de 2020, 1:00 p.m. ET. Inscríbase hoy mismo.  #oatt https://t.co/6NVMnSQF21",False,3,2020-05-30
58872,1267439542627446785,"Expert market commentary by Darin Friedrichs (@crushspread), author of China Direct and Risk Management Consultant for INTL FCStone Trading Co. Ltd. is quoted by @Reuters. #oatt #soybeans https://t.co/KhOc45aMA9",False,1,2020-06-01
58871,1267472281305055233,"Join Rhona O’Connell (@REOC13), Head of Market Analysis EMEA &amp; Asia for INTL FCStone Ltd. and other industry experts on June 5th at 4 pm (SGT) for the Global Precious Metals Markets: Price Drivers and Outlook by @SGX #preciousmetals #palladium 

https://t.co/lOxt5sS1Ga",False,2,2020-06-01
58870,1267487358858993666,"Chief Commodities Economist for INTL FCStone Financial Inc. – FCM Division, @ArlanFF101 was featured in @FJ_PORK’s Q&amp;A regarding the global pork market.  #PORKWeek #pork #oatt

https://t.co/H05SCiqG6h",False,3,2020-06-01
58869,1267502418679349263,"Veja nossos primeiros números de Oferta e Demanda Global para a safra 2020/21 no evento online ""NY Week #Sugar Webinar: COVID-19 – Impactos nos Mercados de #Açúcar e #Energia: Expectativas"" no dia 3 de junho às 16:00 (Brasília). https://t.co/51kW8GiChh",False,4,2020-06-01
58868,1267517545315291137,". @brownfield Ag News features expert market commentary by @ArlanFF101 Chief Commodities Economist for INTL FCStone Financial Inc. - FCM Division. #oatt #ChinaTradeDeal #ag
 https://t.co/wpJN6qMLWJ",False,5,2020-06-01
58867,1267566591048331265,Improve your understanding of grain origination and merchandising at the complimentary #Grain Risk Academy 101 Virtual Seminar Series every Thursday in June! #oatt #grains https://t.co/xxqDvs8fzj,False,6,2020-06-01
58866,1267573413285179395,"RT @FCStoneBrasil: Ouça nossos especialistas e obtenha análises atualizadas no evento online ""NY Week Sugar Webinar: #COVID-19 – Impactos n…",False,7,2020-06-01
58865,1267593037678608385,"Expert market commentary by @ArlanFF101 Chief Commodities Economist for INTL FCStone Financial Inc. – FCM Division is featured in MarketScreener. #soybeans #oatt

 https://t.co/H6UdWiAqhj",False,8,2020-06-01
